seed,family,setting,held_out_subject_r1,semantic_probe_r2,acoustic_probe_r2,residual_energy
1,lags,neg1_4,0.8571428571428571,0.1899932324886322,0.13353151082992554,0.16573777794837952
1,lags,wrong_3_5,0.9285714285714286,0.45376235246658325,0.1111292690038681,0.2905155122280121
1,feature_count,1,1.0,0.8258721828460693,0.9179121851921082,0.6677877902984619
1,feature_count,2,1.0,0.7744776606559753,0.7788864374160767,0.4347681701183319
1,feature_count,3,0.9285714285714286,0.38035497069358826,0.24217025935649872,0.21504805982112885
1,intercept,false,0.9285714285714286,0.38035497069358826,0.24217025935649872,0.21504805982112885
1,intercept,true,1.0,-2.392836861986325e-08,-2.128810592694208e-05,0.10147616267204285
2,ridge,0,0.8571428571428571,0.296823114156723,-0.05814908444881439,0.25221168994903564
2,ridge,1e-06,0.8571428571428571,0.2968231439590454,-0.05814971774816513,0.25221168994903564
2,ridge,0.0001,0.8571428571428571,0.2967875599861145,-0.058191608637571335,0.2522117495536804
2,ridge,0.001,0.8571428571428571,0.2964725196361542,-0.0585695318877697,0.2522159218788147
2,ridge,0.01,0.8571428571428571,0.29362574219703674,-0.06212596595287323,0.25252285599708557
2,ridge,0.1,0.8571428571428571,0.27753815054893494,-0.0863356664776802,0.2586453855037689
2,lags,no_lag,0.8571428571428571,0.0229598768055439,-0.23495633900165558,0.7430699467658997
2,lags,0_1,0.8571428571428571,0.0607440359890461,-0.41310641169548035,0.427533358335495
2,lags,0_2,0.8571428571428571,0.15081018209457397,-0.24473418295383453,0.3120189905166626
2,lags,0_4,0.8571428571428571,0.2964725196361542,-0.0585695318877697,0.2522159218788147
2,lags,neg1_4,0.8571428571428571,0.3199412226676941,-0.004158370196819305,0.21979035437107086
2,lags,wrong_3_5,0.8571428571428571,0.27072572708129883,-0.2712928056716919,0.33481159806251526
2,feature_count,1,1.0,0.14650501310825348,-0.2001020461320877,0.6211114525794983
2,feature_count,2,0.8571428571428571,0.19988080859184265,-0.07242810726165771,0.386059433221817
2,feature_count,3,0.8571428571428571,0.2964725196361542,-0.0585695318877697,0.2522159218788147
2,intercept,false,0.8571428571428571,0.2964725196361542,-0.0585695318877697,0.2522159218788147
2,intercept,true,0.9285714285714286,0.0,-0.00017980860138777643,0.09933198243379593
3,ridge,0,1.0,0.2962687015533447,-0.15991321206092834,0.3185633420944214
3,ridge,1e-06,1.0,0.2962685823440552,-0.15991346538066864,0.3185633420944214
3,ridge,0.0001,1.0,0.2962567210197449,-0.15990763902664185,0.31856343150138855
3,ridge,0.001,1.0,0.29615166783332825,-0.15985943377017975,0.3185674250125885
3,ridge,0.01,1.0,0.2950468063354492,-0.15965597331523895,0.31886026263237
3,ridge,0.1,1.0,0.28449711203575134,-0.16515254974365234,0.3247333765029907
3,lags,no_lag,1.0,0.14397013187408447,-0.5710598230361938,0.7815961241722107
3,lags,0_1,0.9285714285714286,0.11438090354204178,-0.3312171995639801,0.49887901544570923
3,lags,0_2,1.0,0.14731502532958984,-0.17413412034511566,0.38315996527671814
3,lags,0_4,1.0,0.29615166783332825,-0.15985943377017975,0.3185674250125885
3,lags,neg1_4,0.9285714285714286,0.3294169306755066,-0.14146079123020172,0.28576815128326416
3,lags,wrong_3_5,1.0,0.3318292200565338,-0.24720002710819244,0.40190747380256653
3,feature_count,1,1.0,0.2662338316440582,0.45662200450897217,0.7315581440925598
3,feature_count,2,0.9285714285714286,0.35409191250801086,0.09545520693063736,0.5035737156867981
3,feature_count,3,1.0,0.29615166783332825,-0.15985943377017975,0.3185674250125885
3,intercept,false,1.0,0.29615166783332825,-0.15985943377017975,0.3185674250125885
3,intercept,true,0.8571428571428571,0.0,-0.0018210320267826319,0.10142609477043152
4,ridge,0,0.9285714285714286,0.39593154191970825,0.312386691570282,0.16570211946964264
4,ridge,1e-06,0.9285714285714286,0.39593183994293213,0.31238722801208496,0.16570211946964264
4,ridge,0.0001,0.9285714285714286,0.3959672152996063,0.31242161989212036,0.16570216417312622
4,ridge,0.001,0.9285714285714286,0.39628252387046814,0.31273210048675537,0.165706604719162
4,ridge,0.01,0.9285714285714286,0.39907947182655334,0.3155164420604706,0.16602028906345367
4,ridge,0.1,0.9285714285714286,0.4150611460208893,0.3314976096153259,0.17214010655879974
4,lags,no_lag,1.0,0.6493819952011108,0.6196935176849365,0.6047397255897522
4,lags,0_1,1.0,0.5400884747505188,0.5049579739570618,0.3406737744808197
4,lags,0_2,0.9285714285714286,0.4608731269836426,0.4289593994617462,0.23269696533679962
4,lags,0_4,0.9285714285714286,0.39628252387046814,0.31273210048675537,0.165706604719162
4,lags,neg1_4,0.9285714285714286,0.31981202960014343,0.2265690416097641,0.13765491545200348
4,lags,wrong_3_5,0.7857142857142857,0.47007691860198975,0.4079506993293762,0.24969300627708435
4,feature_count,1,0.9285714285714286,0.7275257706642151,0.8525446653366089,0.5843297839164734
4,feature_count,2,0.9285714285714286,0.47910770773887634,0.45834288001060486,0.328856498003006
4,feature_count,3,0.9285714285714286,0.39628252387046814,0.31273210048675537,0.165706604719162
4,intercept,false,0.9285714285714286,0.39628252387046814,0.31273210048675537,0.165706604719162
4,intercept,true,0.7142857142857143,3.111109947440127e-08,-0.00012964675261173397,0.09816137701272964
